Vehicle RTO Codes,District/Region,State
KA-16,RTO Chitradurga,Karnataka
KA-17,RTO Shivamogga,Karnataka
KA-17,RTO Davanagere,Karnataka
KA-18,RTO Chikkamagaluru,Karnataka
KA-19,RTO Mangaluru,Karnataka
KA-20,RTO Udupi,Karnataka
KA-21,RTO Puttur,Karnataka
KA-22,RTO Belagavi,Karnataka
KA-23,RTO Chikkodi,Karnataka
KA-24,ARTO Bailahongal,Karnataka
KA-25,RTO Dharwad,Karnataka
KA-26,RTO Gadag,Karnataka
KA-27,RTO Haveri,Karnataka
KA-28,RTO Vijayapura,Karnataka
KA-29,RTO Bagalkote,Karnataka
KA-30,RTO Karwar,Karnataka
KA-31,RTO Sirsi,Karnataka
KA-32,RTO Kalaburgi,Karnataka
KA-33,RTO Yadagiri,Karnataka
KA-34,RTO Bellari,Karnataka
KA-35,RTO Hosapete,Karnataka
KA-36,RTO Raichur,Karnataka
KA-37,RTO Koppal,Karnataka
KA-38,RTO Bidar,Karnataka
KA-39,ARTO Bhalki,Karnataka
KA-40,RTO Chickballapura,Karnataka
KA-41,RTO Jnanabharathi,Karnataka
KA-42,RTO Ramanagar,Karnataka
KA-43,ARTO Devanahalli,Karnataka
KA-44,ARTO Tiptur,Karnataka
KA-45,ARTO Hunsur,Karnataka
KA-46,ARTO Sakaleshpura,Karnataka
KA-47,ARTO Honnavar,Karnataka
KA-48,ARTO Jamkhandi,Karnataka
KA-49,ARTO Gokak,Karnataka
KA-50,RTO Yelahanka,Karnataka
KA-51,RTO Electronic City,Karnataka
KA-52,RTO Nelamangala,Karnataka
KA-53,RTO Krishnarajapuram,Karnataka
KA-54,ARTO Nagamangala,Karnataka
KA-55,RTO Mysuru (East),Karnataka
KA-56,ARTO Basavakalyana,Karnataka
KA-57,"RTO,  A/R & STU, Bengaluru",Karnataka
KA-58,"RTO Banashankari, Bengaluru",Karnataka
KA-59,"RTO, Chandapura, Bengaluru",Karnataka
KA-60,"RTO, R.T.Nagar, Bengaluru",Karnataka
KA-61,"RTO, Marathalli, Bengaluru",Karnataka
KA-62,"RTO, Surathkal, DakshinaKannada (Dist)",Karnataka
KA-63,R.T.O Dharwad (East),Karnataka
KA-64,"ARTO Madhugiri, Tumakuru (Dist.)",Karnataka
KA-65,"ARTO Dandeli Uttara, Kannada (Dist)",Karnataka
KA-66,ARTO Tarikere Chikkamagaluru,Karnataka
KA-67,"ARTO,Chintamani, Chikkaballapur",Karnataka
KA-68,ARTO Ranibennur Haveri,Karnataka
KA-69,"ARTO, Ramadurga Belagavi ",Karnataka
KA-70,ARTO Bantwala Dakshina Kannada,Karnataka
