LOOKUP_ID,LOOKUP_NAME,PARENT_ID,TYPE_ID,type_name
516078,Tripura Gramin Bank,0,29,BANK NAME
516079,The Bharuch District central Co Op Bank Ltd,0,29,BANK NAME
516080,STATE BANK OF BIKANER AND JAIPUR,0,29,BANK NAME
516081,The Meghalaya Co Op Apex Bank Ltd,0,29,BANK NAME
516082,KSHETRIYA KISAN GRAMIN BANK,0,29,BANK NAME
516084,PRAGATI SAHKARI BANK LTD,0,29,BANK NAME
516085,BARODA UP GRAMIN BANK,0,29,BANK NAME
516086,"BERENBERG Joh. Berenberg, Gossler & Co. KG",0,29,BANK NAME
516087,HSBC BANK,0,29,BANK NAME
516088,BHARATIYA MAHILA BANK LIMITED,0,29,BANK NAME
516089,ARIHANT URBAN CO OP BANK LTD,0,29,BANK NAME
516091,CHITTORGARH KENDRIYA SAHAKARI BANK LTD,0,29,BANK NAME
516092,BARDHAMAN GRAMIN BANK,0,29,BANK NAME
516093,MALLABHUM GRAMIN BANK,0,29,BANK NAME
516094,People's Bank,0,29,BANK NAME
516095,HP STATE CO OPERATIVE BANK,0,29,BANK NAME
516107,shamrao vithal coop bank ltd,0,29,BANK NAME
516108,Baroda Uttar Pradesh Gramin Bank,0,29,BANK NAME
516138,HP STATE COOPERATIVE BANK,0,29,BANK NAME
516139,DISTRICT CO OPERATIVE BANK LTD,0,29,BANK NAME
516140,FAIZABAD SAHAKARI ZILA BANK LIMITED,0,29,BANK NAME
516141,Jammu Central Cooperative Bank,0,29,BANK NAME
516144,THE HASTI COOP BANK LTD,0,29,BANK NAME
516145,Exim Bank Tanzania Limited,0,29,BANK NAME
516152,DHAKA BANK LIMITED,0,29,BANK NAME
516153,JORDAN KUWAIT BANK,0,29,BANK NAME
516154,NEPAL BANGLADESH BANK LTD,0,29,BANK NAME
516155,RAJASTHAN MARUDHARA GRAMIN BANK,0,29,BANK NAME
516157,BANDHAN BANK LIMITED,0,29,BANK NAME
516158,HIMACHAL PRADESH GRAMIN BANK,0,29,BANK NAME
516285,test1,0,29,BANK NAME
516286,IDFC BANK LIMITED,0,29,BANK NAME
516287,THE BIDAR DISTRICT CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
516353,NATIONAL AUSTRALIA BANK LTD,0,29,BANK NAME
516357,WHITNEY BANK,0,29,BANK NAME
518707,THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR,0,29,BANK NAME
518715,Credit Industriel et Commercial,0,29,BANK NAME
518718,Affin Bank Berhad,0,29,BANK NAME
519090,Kotak Mahindra Bank Ltd,0,29,BANK NAME
519222,TELANGANA STATE COOP APEX BANK,0,29,BANK NAME
519227,KEB Hana Bank,0,29,BANK NAME
519247,NEW INDIA COOPERATIVE BANK LIMITED,0,29,BANK NAME
519248,EQUITAS SMALL FINANCE BANK LIMITED,0,29,BANK NAME
519249,DNB BANK ASA,0,29,BANK NAME
519252,UTKARSH SMALL FINANCE BANK,0,29,BANK NAME
519307,AU SMALL FINANCE BANK LIMITED,0,29,BANK NAME
519332,SURYODAY SMALL FINANCE BANK LIMITED,0,29,BANK NAME
519334,SHIVALIK MERCANTILE CO OPERATIVE BANK LTD,0,29,BANK NAME
519336,UJJIVAN SMALL FINANCE BANK LIMITED,0,29,BANK NAME
519354,FINO PAYMENTS BANK,0,29,BANK NAME
521616,DMK Jaoli Bank,0,29,BANK NAME
521617,HARYANA STATE COOPERATIVE BANK,0,29,BANK NAME
521618,TBC BANK,0,29,BANK NAME
521652,NATIONAL BANK OF CANADA,0,29,BANK NAME
521653,CM CIC BANQUES,0,29,BANK NAME
521654,Hatton National Bank PLC,0,29,BANK NAME
521655,EMIRATES NBD BANK P J S C,0,29,BANK NAME
525560,ESAF SMALL FINANCE BANK LIMITED,0,29,BANK NAME
525561,ANDHRA PRADESH GRAMEENA VIKAS BANK,0,29,BANK NAME
525562,AHMEDNAGAR MERCHANTS CO OP BANK LTD,0,29,BANK NAME
515990,THE RAIGAD DISTRICT CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
515991,SAMYUT KSHETRIYA GRAMIN BANK,0,29,BANK NAME
515992,TRIVENI KSHETRIY GRAMIN BANK,0,29,BANK NAME
515993,GOMTI GRAMIN BANK,0,29,BANK NAME
515994,GONDIA DISTRICT CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
515995,VIKRAMADITYA NAGRIK SAHAKARI BANK,0,29,BANK NAME
515996,BIKANER ZILA PRATHMIK SAHKARI BHOMI VIKAS BANK,0,29,BANK NAME
515997,GUJARAT MERCANTILE CO OP BANK LTD,0,29,BANK NAME
515998,PURVANCHAL BANK,0,29,BANK NAME
515999,UTTRAKHAND CO OPERATIVE BANK LTD,0,29,BANK NAME
516000,MAHAVEER CO OPERATIVE URBAN BANK LTD,0,29,BANK NAME
516004,SOPANKAKA SAHAKARI BANK LTD,0,29,BANK NAME
516005,SHRIKRISHNA CO OPREATIVE BANK LTD,0,29,BANK NAME
516007,SHRI SHARDA SAHAKARI BANK,0,29,BANK NAME
516008,JHARKHAND STATE CO OPERATIVE BANK LTD,0,29,BANK NAME
516009,UMIYA URBAN CO OPERATIVE BANK LTD,0,29,BANK NAME
516012,RAMGARHIA CO OPERATIVE BANK LTD,0,29,BANK NAME
516013,VAISHALI DISTRICT CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
516014,RAYALASEEMA GRAMEENA BANK,0,29,BANK NAME
516015,PADMAVATHI CO OP URBAN BANK LTD,0,29,BANK NAME
516016,BANGIYA GRAMIN VIKASH BANK.,0,29,BANK NAME
516017,THE HASSAN DISTRICT CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
516018,JAIN CO OPERATIVE BANK LTD,0,29,BANK NAME
516019,THE GUWAHATI CO OPERATIVE URBAN BANK LIMITED,0,29,BANK NAME
516020,THE SOUTH INDIAN BANK LTD,0,29,BANK NAME
516021,THE NANDURA URBAN CO OP BANK LTD,0,29,BANK NAME
516022,THE YAVATMAL URBAN CO OP BANK LTD,0,29,BANK NAME
516023,Model co op bank Ltd,0,29,BANK NAME
516024,BAREILLY KSHETRIYA GRAMIN BANK,0,29,BANK NAME
516025,PASCHIM BANGA GRAMIN BANK,0,29,BANK NAME
516026,Metro Bank PLC,0,29,BANK NAME
516027,MANIPUR RURAL BANK,0,29,BANK NAME
516028,KAHURIA SAMABAY KRISHI UNNAYAN SAMITY LTD,0,29,BANK NAME
516029,THE MAHANAGAR CO OP BANK LTD,0,29,BANK NAME
516030,Sant Sopankaka Sahakari Bank Limited.,0,29,BANK NAME
516031,VIDYASAGAR CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
516032,SARVA HARYANA GRAMIN BANK,0,29,BANK NAME
